result_id,test_id,test_cas,molecularweight,conc1_mean,conc1_unit,conc1_remove,conc1_unit_type,conc1_mean2,conc1_unit2,conc1_mean3,conc1_unit3,conc1_mean4,conc1_unit4,conc1_mean2_manual,conc1_unit2_manual,conc1_mean4_manual,conc1_unit4_manual,chck_mean2,chck_mean2_fuzzy,chck_unit2,chck_mean4,chck_unit4
216144,1236310,57636,296.4,10,ug/g org/wk,FALSE,mass/mass/time,5.95238095238095e-08,g/g/h,1e-05,g/g,1e-05,g/g,5.95238095238095e-08,g/g/h,5.95238095238095e-08,g/g/h,TRUE,TRUE,TRUE,TRUE,TRUE
216163,1225121,688733,291.06072,4,mg/cm2/d,FALSE,mass/area/time,1.66666666666667,g/m2/h,7300.00000000001,g/m2,7300.00000000001,g/m2,1.66666666666667,g/m2/h,1.66666666666667,g/m2/h,FALSE,TRUE,TRUE,FALSE,TRUE
216248,1236243,50237,362.5,100,ng/ml blood/d,FALSE,mass/volume/time,4.16666666666667e-06,g/l/h,,g/l,,g/l,4.16666666666667e-06,g/l/h,4.16666666666667e-06,g/l/h,TRUE,TRUE,TRUE,TRUE,TRUE
216474,1235539,50237,362.5,4.2,ug/h/100 g,FALSE,mass/time/mass,4.2e-08,g/h/g,4.2e-08,g/h/g,4.2e-08,g/h/g,4.2e-08,g/h/g,4.2e-08,g/h/g,TRUE,TRUE,TRUE,TRUE,TRUE
216938,1223549,50328,252.3,50,mg/kg dw org/d,FALSE,mass/mass/time,2.08333333333334e-06,g/g/h,,g/g,,g/g,2.08333333333334e-06,g/g/h,2.08333333333334e-06,g/g/h,FALSE,TRUE,TRUE,FALSE,TRUE
217262,1237374,50282,272.4,0.5,ug/g bdwt/wk,FALSE,mass/mass/time,2.97619047619048e-09,g/g/h,1.78571428571429e-06,g/g,1.78571428571429e-06,g/g,2.97619047619048e-09,g/g/h,2.97619047619048e-09,g/g/h,FALSE,TRUE,TRUE,FALSE,TRUE
217556,1237242,14265442,94.971,0.025,mmol/g dry wt,FALSE,mol/mass,2.5e-05,mol/g,2.5e-05,mol/g,0.002374275,g/g,2.5e-05,mol/g,0.002374275,g/g,TRUE,TRUE,TRUE,FALSE,FALSE
217899,1237504,140669,206.32,25,mg/kg wt,FALSE,mass/mass,2.5e-05,g/g,2.5e-05,g/g,2.5e-05,g/g,2.5e-05,g/g,2.5e-05,g/g,TRUE,TRUE,TRUE,TRUE,TRUE
220548,1238014,688733,291.06072,4,ug/cm2/d,FALSE,mass/area/time,0.00166666666666667,g/m2/h,1.12,g/m2,1.12,g/m2,0.001666666666667,g/m2/h,0.001666666666667,g/m2/h,FALSE,TRUE,TRUE,FALSE,TRUE
223060,1235721,7647145,58.44,0.1,ml/d,FALSE,volume/time,4.16666666666667e-06,l/h,0.001,l,0.001,l,4.16666666666667e-06,l/h,4.16666666666667e-06,l/h,TRUE,TRUE,TRUE,TRUE,TRUE
223977,1206465,7440508,63.55,5E-7,kmol/m3,FALSE,mol/volume,5e-04,mol/m3,5e-04,mol/m3,5e-04,mol/m3,5e-04,mol/m3,5e-04,mol/m3,TRUE,TRUE,TRUE,TRUE,TRUE
225281,1233292,330541,233.09,80.0,AI uM,FALSE,mol/volume,8e-05,mol/l,8e-05,mol/l,0.0186472,g/l,8e-05,mol/l,0.0186472,g/l,TRUE,TRUE,TRUE,FALSE,FALSE
226443,1233596,14124675,126.97,0.4,uCi/L,FALSE,radioactivity/volume,14800,Bq/l,14800,Bq/l,14800,Bq/l,14800,Bq/l,14800,Bq/l,TRUE,TRUE,TRUE,TRUE,TRUE
226645,1144895,10099748,331,10,mg/kg org/d,FALSE,mass/mass/time,4.16666666666667e-07,g/g/h,3e-04,g/g,3e-04,g/g,4.16666666666667e-07,g/g/h,4.16666666666667e-07,g/g/h,TRUE,TRUE,TRUE,TRUE,TRUE
227789,1233007,301042,325,20,cm3/4L,FALSE,volume/volume,5e-06,m3/l,5e-06,m3/l,5e-06,m3/l,5e-06,m3/l,5e-06,m3/l,TRUE,TRUE,TRUE,TRUE,TRUE
227797,1233462,7761888,169.873,0.089,mg/h,FALSE,mass/time,8.9e-05,g/h,0.002136,g,0.002136,g,8.9e-05,g/h,8.9e-05,g/h,TRUE,TRUE,TRUE,TRUE,TRUE
229358,1236672,1308389,151.99,0.66,mCi/kg,FALSE,radioactivity/mass,24420,Bq/g,24420,Bq/g,24420,Bq/g,24420,Bq/g,24420,Bq/g,TRUE,TRUE,TRUE,TRUE,TRUE
233349,1192163,72435,345.6,6000,ug/dm3,FALSE,mass/volume,6,g/m3,6,g/m3,6,g/m3,6,g/m3,6,g/m3,TRUE,TRUE,TRUE,TRUE,TRUE
235022,1081663,10099748,331,15,pM,FALSE,mol/volume,1.5e-11,mol/l,1.5e-11,mol/l,4.965e-09,g/l,1.5e-11,mol/l,4.965e-09,g/l,TRUE,TRUE,TRUE,FALSE,FALSE
235986,1246871,298124,74.04,2.0E-3,mol/dm3,FALSE,mol/volume,2,mol/m3,2,mol/m3,2,mol/m3,2,mol/m3,2,mol/m3,TRUE,TRUE,TRUE,TRUE,TRUE
236066,1249312,471341,100.09,61.0,mg/g,FALSE,mass/mass,0.061,g/g,0.061,g/g,0.061,g/g,6.1e-08,g/g,6.1e-08,g/g,FALSE,TRUE,TRUE,FALSE,TRUE
