parameter_group,id,norman_header,norman1,norman2,nor_variable,app_variable,convert,ep_schema,ep_table,ep_variable,epa3_variable,app_variable_name,,status,edi_table,id2,conversion,remark,example
Organism region,445,Organism occurs in Oceania,n.a.,,,1,,,created,n.a.,oceania,reg_oceania,,,,,,,
Organism taxonomy,480,Family,n.a.,,,1,,,created,n.a.,tax_family,tax_family,,,,,,,
Organism taxonomy,481,Order,n.a.,,,1,,,created,n.a.,tax_order,tax_order,,,,,,,
Organism taxonomy,482,Class,n.a.,,,1,,,created,n.a.,tax_class,tax_class,,,,,,,
Organism taxonomy,483,Subphylum_Division,n.a.,,,1,,,created,n.a.,tax_subphylum_div,tax_subphylum_div,,,,,,,
Organism taxonomy,484,Phylum_Division,n.a.,,,1,,,created,n.a.,tax_phylum_division,tax_phylum_division,,,,,,,
Organism taxonomy,485,Kingdom,n.a.,,,1,,,created,n.a.,tax_kingdom,tax_kingdom,,,,,,,
Organism taxonomy,486,Convenience taxonomic grouping,n.a.,,,,,,created,n.a.,tax_convgroup,tax_convgroup,,,,,,,
Organism taxonomy,487,Makro-invertebrate organism,n.a.,,,1,,,created,n.a.,tax_invertebrate_makro,tax_invertebrate_makro,,,,,,,
Organism taxonomy,488,Mikro-invertebrate Organism,n.a.,,,1,,,created,n.a.,tax_invertebrate_mikro,tax_invertebrate_mikro,,,,,,,
Organism trophy,489,Autotroph organism,n.a.,,,1,,,created,n.a.,autotroph,tax_autotroph,,,,,,,
Organism trophy,490,Mixotroph organism,n.a.,,,1,,,created,n.a.,mixotroph,tax_mixotroph,,,,,,,
Organism trophy,491,Heterotroph organism,n.a.,,,1,,,created,n.a.,heterotroph,tax_heterotroph,,,,,,,
Chemical group,500,Metal,n.a.,,,1,,,created,n.a.,metal,cgr_metal,,,,,,,
Chemical group,501,Fungicide,n.a.,,,1,,,created,n.a.,fungicide,cgr_fungicide,,,,,,,
Chemical group,502,Herbicide,n.a.,,,1,,,created,n.a.,herbicide,cgr_herbicide,,,,,,,
Chemical group,503,Insecticie,n.a.,,,1,,,created,n.a.,insecticide,cgr_insecticide,,,,,,,
Chemical group,504,Molluscicide,n.a.,,,1,,,created,n.a.,molluscicide,cgr_molluscicide,,,,,,,
Chemical group,505,Repellent,n.a.,,,1,,,created,n.a.,repellent,cgr_repellent,,,,,,,
Chemical group,506,Rodenticide,n.a.,,,1,,,created,n.a.,rodenticide,cgr_rodenticide,,,,,,,
