conc1_unit,u1,u2,u3,u4,n,u1cl,u2cl,u3cl,u4cl,u1num,u2num,u3num,u4num,nas,conc1_info,u1type,u2type,u3type,u4type,conc1_unit_clean,type,convert,multiplier,unit_conv
pt/gal,pt,gal,,,9,pt,gal,,,,,,,2,,volume,volume,,,pt/gal,volume/volume,FALSE,,
mg/60 ml,mg,60 ml,,,9,mg,ml,,,,60,,,2,,mass,volume,,,mg/ml,mass/volume,TRUE,16666.6666666667,ug/l
g/5 kg soil,g,5 kg,,,9,g,kg,,,,5,,,2,soil,mass,mass,,,g/kg,mass/mass,TRUE,2e-04,g/g
g/5 L,g,5 l,,,9,g,l,,,,5,,,2,,mass,volume,,,g/l,mass/volume,TRUE,2e+05,ug/l
dpm/EU,dpm,eu,,,9,dpm,eu,,,,,,,2,,radioactivity,experimentalunit,,,dpm/eu,radioactivity/experimentalunit,FALSE,,
mg/ml/g wt,mg,ml,g,,9,mg,ml,g,,,,,,1, wt,mass,volume,mass,,mg/ml/g,mass/volume/mass,FALSE,,
ug/d/org,ug,d,org,,8,ug,d,org,,,,,,1,,mass,time,organism,,ug/d/org,mass/time/organism,FALSE,,
ug/g org/wk,ug,g org,wk,,8,ug,g,wk,,,,,,1,,mass,mass,time,,ug/g/wk,mass/mass/time,FALSE,,
ug/kg LD,ug,kg ld,,,8,ug,kg,,,,,,,2,,mass,mass,,,ug/kg,mass/mass,TRUE,1e-09,g/g
AI g/kg plt,g,kg,,,8,g,kg,,,,,,,2,plt,mass,mass,,,g/kg,mass/mass,TRUE,0.001,g/g
mg/60g egg,mg,60g,,,8,mg,g,,,,60,,,2, egg,mass,mass,,,mg/g,mass/mass,TRUE,1.66666666666667e-05,g/g
g/org/yr,g,org,yr,,8,g,org,yr,,,,,,1,,mass,organism,time,,g/org/yr,mass/organism/time,FALSE,,
g/ml/100 L,g,ml,100 l,,8,g,ml,l,,,,100,,1,,mass,volume,volume,,g/ml/l,mass/volume/volume,FALSE,,
g/l/m2,g,l,m2,,8,g,l,m2,,,,,,1,,mass,volume,area,,g/l/m2,mass/volume/area,FALSE,,
lb/100 ft2,lb,100 ft2,,,8,lb,ft2,,,,100,,,2,,mass,area,,,lb/ft2,mass/area,TRUE,48.8242763638305,g/m2
mg/mm2,mg,mm2,,,8,mg,mm2,,,,,,,2,,mass,area,,,mg/mm2,mass/area,TRUE,1000,g/m2
ml/10 g bdwt,ml,10 g,,,8,ml,g,,,,10,,,2,bdwt,volume,mass,,,ml/g,volume/mass,TRUE,0.1,ml/g
ml/2000 L,ml,2000 l,,,8,ml,l,,,,2000,,,2,,volume,volume,,,ml/l,volume/volume,TRUE,5e-04,ml/l
ml/20 L,ml,20 l,,,8,ml,l,,,,20,,,2,,volume,volume,,,ml/l,volume/volume,TRUE,0.05,ml/l
kg/2000 L,kg,2000 l,,,8,kg,l,,,,2000,,,2,,mass,volume,,,kg/l,mass/volume,TRUE,5e+05,ug/l
kg/mu,kg,mu,,,8,kg,m,,,,,,,2,,mass,length,,,kg/m,mass/length,TRUE,10,g/cm
ml/ft2,ml,ft2,,,8,ml,ft2,,,,,,,2,,volume,area,,,ml/ft2,volume/area,TRUE,10.7639104167097,ml/m2
l/hl,l,hl,,,8,l,hl,,,,,,,2,,volume,volume,,,l/hl,volume/volume,TRUE,10,ml/l
g/150 sd,g,150 sd,,,8,g,sd,,,,150,,,2,,mass,noscience,,,g/sd,mass/noscience,FALSE,,
g/10 kg food,g,10 kg,,,8,g,kg,,,,10,,,2,food,mass,mass,,,g/kg,mass/mass,TRUE,1e-04,g/g
mmol/g,mmol,g,,,8,mmol,g,,,,,,,2,,mol,mass,,,mmol/g,mol/mass,TRUE,0.001,mol/g
g/100g BW/d,g,100g bw,d,,8,g,g,d,,,100,,,1,,mass,mass,time,,g/g/d,mass/mass/time,FALSE,,
mmol/L soil,mmol,l,,,8,mmol,l,,,,,,,2,soil,mol,volume,,,mmol/l,mol/volume,TRUE,0.001,mol/l
g/0.4 ha,g,0.4 ha,,,8,g,ha,,,,0.4,,,2,,mass,area,,,g/ha,mass/area,TRUE,0.00025,g/m2
ng/20 ul fd,ng,20 ul,,,8,ng,ul,,,,20,,,2,fd,mass,volume,,,ng/ul,mass/volume,TRUE,50,ug/l
ng/cm,ng,cm,,,8,ng,cm,,,,,,,2,,mass,length,,,ng/cm,mass/length,TRUE,1e-09,g/cm
umol/g LD,umol,g ld,,,8,umol,g,,,,,,,2,,mol,mass,,,umol/g,mol/mass,TRUE,1e-06,mol/g
ng/ml fd,ng,ml,,,8,ng,ml,,,,,,,2,fd,mass,volume,,,ng/ml,mass/volume,TRUE,1,ug/l
AI ug/ul,ug,ul,,,8,ug,ul,,,,,,,2,,mass,volume,,,ug/ul,mass/volume,TRUE,1e+06,ug/l
AI ug/kg bdwt/d,ug,kg ,d,,8,ug,kg,d,,,,,,1,bdwt,mass,mass,time,,ug/kg/d,mass/mass/time,FALSE,,
AI ug/cm2 diet,ug,cm2,,,8,ug,cm2,,,,,,,2,diet,mass,area,,,ug/cm2,mass/area,TRUE,0.01,g/m2
uM/h,umol,l,h,,8,umol,l,h,,,,,,1,,mol,volume,time,,umol/l/h,mol/volume/time,FALSE,,
AI ppt,ppt,,,,8,ppt,,,,,,,,3,,fraction,,,,ppt,fraction,TRUE,1e-06,ppm
PSU,psu,,,,8,psu,,,,,,,,3,,salinity,,,,psu,salinity,FALSE,,
pt/100 gal,pt,100 gal,,,8,pt,gal,,,,100,,,2,,volume,volume,,,pt/gal,volume/volume,FALSE,,
ptm,ptm,,,,8,pt,,,,,,,,3,,volume,,,,pt,volume,TRUE,473.1765,ml
