conc1_info,conc1_unit_clean,conv,multiplier,unit_conv,unit_type,result_id,casnr,molecularweight,n,conc1_mean,conc1_unit,conc1_mean2,conc1_unit2,conc1_mean3,conc1_unit3,NOTE
organism,mg/kg/d,yes,1,mg/kg/d,mass/mass/time,226645,10099748,331,364,10,mg/kg org/d,10,mg/kg/d,10,mg/kg/d,
,mol/m3,yes,0.001,mol/l,mol/volume,1029125,553264,156.18,363,0.73,mol/m3,114011.4,ug/l,,,
,oz/ft2,no,,,noscience/area,1011260,107452095,829.8,363,6,oz/1000 ft2,6,oz/1000 ft2,,,
AI ,lb/gal/acre,no,,,mass/noscience/area,1180908,8004055,160.2,361,4,AI lb/100gal/acre,4,AI lb/100gal/acre,,,
,nr,no,,,,1225544,7733020,161.4,359,5.15,NR,5.15,NR,,,
,ng,yes,0.001,ug,mass,2158149,54910893,309.33,348,10,ng,0.01,ug,0.01,ug,
,mm,yes,0.1,cm,length,1211451,14674852,,344,0.1,mm,0.01,cm,0.01,cm,
AI ,ng/org,no,,,mass/organism,2258828,56724,362.8,340,0.47,AI ng/org,0.47,AI ng/org,,,
,mmol,no,,,mol,1040859,7647010,36.46,340,68,mmol,68,mmol,,,
,ng/g,yes,0.001,mg/kg,mass/mass,204863,109333348,578.7,337,4.92,ng/g,0.00492,mg/kg,0.00492,mg/kg,
AI bt,%,yes,10000000,ppb,fraction,2414401,67485294,494.5,322,2,AI % bt,20000000,ppb,,,
wet wt,ug/g,yes,1,mg/kg,mass/mass,1145910,7440508,63.55,319,54,ug/g wet wt,54,mg/kg,54,mg/kg,
AI ,oz/acre,no,,,noscience/area,788951,83055996,410.4,318,1,AI oz/acre,1,AI oz/acre,,,
AI bdwt,mg/kg/d,yes,1,mg/kg/d,mass/mass/time,1176927,129909906,241.29,315,29.5,AI mg/kg bdwt/d,29.5,mg/kg/d,29.5,mg/kg/d,
ae,lb/acre,yes,0.112084667279431,g/m2,mass/area,2178076,1071836,169.0731,315,0.75,ae lb/acre,0.084063500459573,g/m2,,,
 egg,ug/g,yes,1,mg/kg,mass/mass,2358409,80057,228.29,315,100,ug/g egg,100,mg/kg,100,mg/kg,
,ml/m2,yes,1,ml/m2,volume/area,2387597,137428,129.182,311,100,ml/m2,100,ml/m2,100,ml/m2,
bdwt,ng/g,yes,0.001,mg/kg,mass/mass,2381701,134237517,,302,5,ng/g bdwt,0.005,mg/kg,,,
dry weight,ug/g,yes,1,mg/kg,mass/mass,726583,7646857,136.3,299,144,ug/g dry wt,144,mg/kg,,,
dry soil,ug/g,yes,1,mg/kg,mass/mass,2452502,330541,233.09,294,34,ug/g dry soil,34,mg/kg,34,mg/kg,
,mg/kg/wk,no,1,mg/kg/wk,mass/mass/time,1179091,7632000,68.995,288,70,mg/kg/wk,70,mg/kg/wk,70,mg/kg/wk,
,lb/gal,no,,,mass/noscience,1195093,21609905,412.1,287,10,lb/100 gal,10,lb/100 gal,,,
AI ,%,yes,10000000,ppb,fraction,2030177,1897456,265.9,278,0.1,AI % fd,1000000,ppb,,,
bdwt,umol/kg,yes,1E-09,mol/g,mol/mass,1061556,62737,220.97,262,88.4,umol/kg bdwt,19.533748,mg/kg,19.533748,mg/kg,
AI ,% w/w,no,,,fraction/noscience,2414211,67485294,494.5,260,0.125,AI % w/w,0.125,AI % w/w,,,
,g/ml,yes,1000000000,ug/l,mass/volume,2386274,12001284,,260,0.002,g/ml,2000000,ug/l,2000000,ug/l,
,g/kg/d,no,,,mass/mass/time,1005213,2425061,349.061,258,0.54,g/kg/d,0.54,g/kg/d,,,
,ug/dm3,yes,1,ug/l,mass/volume,233349,72435,345.6,255,6000,ug/dm3,6000,ug/l,6000,ug/l,
bdwt,mg/g,yes,1000,mg/kg,mass/mass,2136350,84371653,429.6,253,0.1,mg/g bdwt,100,mg/kg,100,mg/kg,
,ug/kg/d,yes,0.001,mg/kg/d,mass/mass/time,1006017,10108642,183.32,253,500,ug/kg/d,0.5,mg/kg/d,0.5,mg/kg/d,
AI ,lb/gal,no,,,mass/noscience,2227366,63252,201.22,250,1,AI lb/100 gal,1,AI lb/100 gal,,,
soil,ug/kg,yes,0.001,mg/kg,mass/mass,2276481,7440508,63.55,249,125,ug/kg soil,0.125,mg/kg,0.125,mg/kg,
bdwt,ug/kg/d,no,,,mass/mass/time,2308685,80057,228.29,248,50000,ug/kg bdwt/d,50000,ug/kg bdwt/d,,,
fd,ug/kg,yes,0.001,mg/kg,mass/mass,1019226,67970,384.6,248,846,ug/kg fd,0.846,mg/kg,,,
AI ,ul/l,yes,1,ul/l,volume/volume,740481,7722841,34.015,246,130,AI ul/L,130,ul/l,130,ul/l,
,ml/l,yes,10,ul/l,volume/volume,1175663,52918635,505.2,246,70,ml/100 L,700,ul/l,,,
 egg,pg/g,yes,1E-06,mg/kg,mass/mass,783275,1746016,322,246,385,pg/g egg,0.000385,mg/kg,,,
,dpm/ml,no,,,radioactivity/volume,143226,94757,221.03,240,1168,dpm/ml,1168,dpm/ml,,,
,umol/ml,yes,0.001,mol/l,mol/volume,2424987,882097,214.64,239,0.781,umol/ml,167633.84,ug/l,167633.84,ug/l,
AI ,g/eu,yes,1000,mg/eu,mass/noscience,2344559,42509808,313.74,235,2.5,AI g/eu,2500,mg/eu,2500,mg/eu,
bdwt,g/kg/d,no,,,mass/mass/time,1166442,64175,46.07,229,4,g/kg bdwt/d,4,g/kg bdwt/d,,,
AI ,g/org,no,,,mass/organism,2344795,22224926,303.36,225,3,AI g/org,3,AI g/org,,,
 egg,ng/g,yes,0.001,mg/kg,mass/mass,1082210,57636,296.4,225,6,ng/g egg,0.006,mg/kg,,,
,uCi,no,,,,731442,7646857,136.3,225,6,uCi,6,uCi,,,
