variable_id,subst_name,casnr,value,source,psm_type
821,Flupyrsulfuron,150315109,,none,herbicide
823,Imazosulfuron,122548338,32000,epa,herbicide
824,Mesosulfuron,400852666,,none,herbicide
825,Prothioconazol-desthio,120983644,,none,metabolite
826,Pyraflufen-ethyl,129630199,760,epa,herbicide
827,Quinoclamin,2797515,2150,ppdb,herbicide
828,Sulfosulfuron,141776321,,chemprop,herbicide
829,Triazoxid,72459586,7200,ppdb,fungicide
830,Tribenuron-methyl,101200480,894000,ppdb,herbicide
831,Ametoctradin,865318974,,none,fungicide
832,Clodinafop,114420563,,none,herbicide
834,Mepanipyrim,110235477,630,ppdb,fungicide
835,Profoxydim,139001493,18100,ppdb,herbicide
837,Thiencarbazon-methyl,317815831,99297.5326984514,epa,herbicide
838,Fluopyram,658066354,25483.3278831475,epa,fungicide
839,Flutolanil,66332965,8246.2112512353,epa,fungicide
840,Chlorthalonil-SA,,,none,metabolite
841,Dimethachlor-CA,,,none,metabolite
842,Dimethenamid-CA,,,none,metabolite
843,Dimethenamid-SA,,,none,metabolite
844,Flufenacet-SA,,,none,metabolite
845,Metalaxyl-CA,75596995,37321.0298752614,chemprop,metabolite
846,Metazachlordicarbonsäure,,,none,metabolite
847,Metalaxyl-CA2,104390569,,none,metabolite
848,Azoxystrobin-CA,,,none,metabolite
849,Thiacloprid-SA,,,none,metabolite
850,Trifloxystrobin-CA2,,,none,metabolite
938,Sulfurylfluorid,2699798,620,ppdb,insecticide
851,Clethodim,99129212,,epa,herbicide
852,Cycloxidim,101205021,,none,herbicide
853,Imazamox,114311329,122000,epa,herbicide
854,Imazapic,104098488,,none,herbicide
855,Imazaquin,81335377,280000,epa,herbicide
856,Imazethapyr,81335775,331662.47903554,epa,herbicide
858,Tralkoxydim,87820880,14720.7336773681,epa,herbicide
859,Saflufenacil,372137354,98199.9999999999,epa,herbicide
860,Valifenalate,283159900,,none,fungicide
861,Fluxapyroxad,907204313,104000,epa,fungicide
862,Isopyrazam,881685581,44,ppdb,fungicide
863,Penflufen,494793678,,none,fungicide
864,Pyroxsulam,422556089,1e+05,epa,herbicide
866,Hexachlorophen,70304,,none,fungicide
871,Acequinocyl,57960197,2.7,epa,insecticide
872,alpha-Cypermethrin,67375308,0.3,ppdb,insecticide
873,Aminopyralid,150114719,98600,epa,herbicide
874,Amisulbrom,348635870,37,ppdb,fungicide
875,Azadirachtin (Neem),11141176,622.5752966509,epa,insecticide
877,Benthiavalicarb,413615357,,none,fungicide
879,Bifenazate,149877418,500,epa,insecticide
880,Bixafen,581809463,1200,ppdb,fungicide
882,Captan,133062,7100,malaj,fungicide
883,Chlorpropham,101213,3700,epa,herbicide
885,Cinidon-ethyl,142891201,59200,ppdb,herbicide
886,Clofentezin,74115245,44.5563208231,epa,insecticide
888,Cymoxanil,57966957,2616.8530481509,epa,fungicide
891,Desmedipham,13684565,450,malaj,herbicide
892,Dichlorprop-P,15165670,3821.3023345661,epa,herbicide
894,Dimethenamid-P,163515148,12000,epa,herbicide
895,Dithianon,3347226,260,ppdb,fungicide
896,Dodin,2439103,48.316126859,epa,fungicide
898,Fenoxaprop-p-ethyl,71283802,4134.7052396024,chemprop,herbicide
899,Flonicamid,158062670,98600,epa,insecticide
900,Fluazifop-P,83066880,31317.9211290757,chemprop,herbicide
901,Flumioxazin,103361097,5500,epa,herbicide
902,Flupyrsulfuron-methyl,144740534,,none,herbicide
903,Fluroxypyr-methylheptyl,81406373,,none,herbicide
904,Fosetyl,15845666,,none,fungicide
906,Haloxyfop-P,95977290,,none,herbicide
907,Hymexazol,10004441,30800,epa,fungicide
908,Imazalil,35554440,3540,epa,fungicide
909,Isoxaflutole,141112290,1500,epa,herbicide
912,Mecoprop-P,16484778,90940,epa,herbicide
914,Mesosulfuron-methyl,208465218,90200,epa,herbicide
915,Metaflumizone,139968493,920.5215912731,epa,insecticide
916,Metalaxyl-M,70630170,84682.6748170173,epa,fungicide
917,Metiram,9006422,573.9748842746,epa,fungicide
918,Metsulfuron-methyl,74223646,,chemprop,herbicide
919,Milbemectin,51596113,64.8074069841,epa,insecticide
921,Pelargonsäure,112050,96000,epa,herbicide
922,Penoxsulam,219714962,94110.7326504262,epa,herbicide
923,Picloram,1918021,54852.9734299073,epa,herbicide
924,Pinoxaden,243973208,,none,herbicide
927,Propaquizafop,111479051,1252.2047916317,chemprop,herbicide
928,Prosulfuron,94125345,,chemprop,herbicide
929,Prothioconazol,178928706,1200,epa,fungicide
931,Pyraflufen,129630177,,none,herbicide
960,Aziprotryn,4658280,26000,epa,herbicide
933,Pyridat,55512339,1080,epa,herbicide
934,Quizalofop-P,94051088,,none,herbicide
935,Silthiofam,175217206,14000,ppdb,fungicide
936,S-Metolachlor,87392129,26000,epa,herbicide
939,Tembotrione,335104842,48900,epa,herbicide
940,Tepraloxydim,149979419,7400,epa,herbicide
942,Topramezone,210631688,99994.9998749939,epa,herbicide
943,Triclopyr-2-butoxyethyl,64700567,1925.5999704044,epa,herbicide
944,Trinexapac-ethyl,95266403,40445.0714709377,chemprop,herbicide
1112,Buturon,3766607,,none,herbicide
968,Chlorsulfuron,64902723,,chemprop,herbicide
976,Formothion,2540821,16100,ppdb,insecticide
991,Norflurazon,27314132,15000,epa,herbicide
1000,Primisulfuron-methyl,86209510,260000,ppdb,herbicide
1001,Pyrazophos,13457186,0.36,ppdb,fungicide
1002,Quinalphos,13593038,0.21,epa,insecticide
1004,Secbumeton,26259450,3992,malaj,herbicide
1007,Tebutam,35256850,,none,herbicide
1022,Fluchloralin,33245395,669.3280212273,epa,herbicide
1023,Furalaxyl,57646307,39000,ppdb,fungicide
1024,Methoprotryn,841065,42000,epa,herbicide
1025,Furmecyclox,60568050,,none,fungicide
1026,Desmethylisoproturon,34123574,18407.2511529961,chemprop,metabolite
1027,Metamitron-Desamino,36993949,61635.233168547,chemprop,metabolite
1054,Orysastrobin,248593160,1300,ppdb,fungicide
1059,Desethyl-2-hydroxyterbuthylazin,66753068,59384.469181169,chemprop,metabolite
1065,Icaridinsäure,,,none,metabolite
1070,Desaminometribuzin,35045024,,none,metabolite
1102,Karbutylat,4849325,,none,herbicide
1119,Chlorbromuron,13360457,12342.3221833558,chemprop,herbicide
1120,Fenoxaprop-p,113158400,6247.7615450535,epa,herbicide
1121,Fenamiphos,22224926,2.1083695488,epa,insecticide
1122,Isophenphos,25311711,4.0147038749,epa,insecticide
1124,"4,4-Methoxychlor",2132709,,none,insecticide
1192,Telodrin,297789,8,malaj,insecticide
1193,Terbumeton,33693048,40000,malaj,herbicide
1194,Nitenpyram,120738898,,none,insecticide
1198,Quizalofop-ethyl,76578148,3700,epa,metabolite
1200,Iodosulfuron-methyl,144550061,,none,herbicide
1201,Haloxyfop-ethoxyethyl,87237487,,none,herbicide
1204,Desmethyldiuron,3567622,2142.3129262835,chemprop,metabolite
1212,Ethirimol,23947606,53000,ppdb,fungicide
1213,Desethylsimazin,1007289,,none,metabolite
1214,Nitrofen,1836755,217,malaj,herbicide
1215,Thifenylsulfuron,79277671,,none,herbicide
1216,Acrinathrin,101007061,53000,ppdb,insecticide
1217,Betacypermethrin,65731842,53000,ppdb,insecticide
1218,4-tert. Cyclobutylhexanon,98533,,none,metabolite
1220,Pyrethrum,8003347,17.0293863659,epa,insecticide
1221,Pyridaben,96489713,0.8226929115,epa,insecticide
355,"HCH, gamma (Lindan)",58899,1600,malaj,insecticide
1223,Iodosulfuron-methyl-sodium,144550367,,none,herbicide
1224,"alpha-, beta-Endosulfan",,,none,insecticide
1225,DDT gesamt,,,none,insecticide
1227,Benazolin,3813056,,none,herbicide
1228,Chloramben,133904,53000,ppdb,herbicide
1229,Chlorfenac,85347,,none,herbicide
1230,Desethylsebuthylazin,37019184,,none,metabolite
1232,Prometon,1610180,41167,malaj,herbicide
1233,Atraton,1610179,,none,herbicide
1234,Terbutylazin-Metabolit SYN 545666,,,none,metabolite
1235,2-Hydroxydesethylatrazin,19988240,,none,metabolite
397,Malathion,121755,0.7,malaj,insecticide
309,Fenitrothion,122145,8.6,malaj,insecticide
488,Parathion-methyl,298000,7.3,malaj,insecticide
142,Atrazin,1912249,54000,malaj,herbicide
614,Trifluralin,1582098,245,malaj,herbicide
640,Methiocarb,2032657,19,epa,insecticide
213,Chlorpyrifos,2921882,0.1,malaj,insecticide
890,Deiquat,2764729,1392.9406543335,epa,herbicide
191,Carbendazim,10605217,131.5164260793,epa,fungicide
911,Maneb,12427382,346.4101615138,epa,fungicide
737,Methomyl,16752775,7.6,malaj,insecticide
532,Propyzamid,23950585,5600,malaj,herbicide
686,Diflubenzuron,35367385,3.7559633903,epa,insecticide
422,Metolachlor,51218452,15595,malaj,herbicide
1195,Permethrin,52645531,0.6,malaj,insecticide
650,Cyfluthrin (Summe Isomere),68359375,0.4283854288,epa,insecticide
578,Tebuconazol,107534963,2051.971136012,epa,fungicide
937,Spinosad,168316958,6500,epa,insecticide
660,Quintozen,82688,770,malaj,fungicide
267,Dieldrin,60571,250,malaj,insecticide
72,"2,4,6-Trichlorphenol",88062,1710,malaj,metabolite
941,Thiram,137268,11,malaj,fungicide
257,Diazinon,333415,1.2556310641,epa,insecticide
192,Carbofuran,1563662,9.4,malaj,insecticide
485,"p,p-DDT",50293,5,malaj,insecticide
647,Dicamba,1918009,110300,malaj,herbicide
430,Mirex,2385855,65,malaj,insecticide
755,cis-Chlordan,5103719,153.2324544581,chemprop,insecticide
284,Disulfoton,298044,13,epa,insecticide
292,Endrin,72208,117,malaj,insecticide
146,Azinphos-methyl,86500,2.0927587679,epa,insecticide
279,Dimethoat,60515,2000,malaj,insecticide
884,Chlorthalonil,1897456,100.8248161668,epa,fungicide
314,Fenthion,55389,12.1681384287,epa,insecticide
1206,Chlorpyriphos methyl,5598130,0.9364293887,epa,insecticide
581,Terbuthylazin,5915413,5000,epa,herbicide
910,Mancozeb,8018017,910.1726516996,epa,fungicide
520,Pirimicarb,23103982,17,malaj,insecticide
601,Triazophos,24017478,12.92,epa,insecticide
925,Pirimiphos-methyl,29232937,0.2156629137,epa,insecticide
237,Cypermetryn,52315078,0.5700243078,epa,insecticide
648,Deltamethrin,52918635,0.1454022121,epa,insecticide
905,gamma-Cyhalothrin,76703623,2.9097835396,epa,insecticide
299,Ethofenprox,80844071,0.57,epa,insecticide
167,Bifenthrin,82657043,1.5286129143,epa,insecticide
722,Hexaflumuron,86479063,0.111,epa,insecticide
649,Cyhalothrin (Summe Isomere),91465086,0.2385624688,epa,insecticide
865,Fipronil,120068373,118.8241641981,epa,insecticide
930,Pymetrozin,123312890,87000,ppdb,insecticide
728,Acetamiprid,135410207,50000,epa,insecticide
365,Imidacloprid,138261413,30638.8530173541,epa,insecticide
822,Foramsulfuron,173159574,1e+05,ppdb,herbicide
